AMS-001-FR,K,235000,05,28/02/2023 22:15:39,8,195000,1
BFF-001-BC,U,150000,10,28/02/2023 22:16:59,4,155000,3
CLM-002-LV,M,120000,10,28/02/2023 22:18:39,5,75000,1
CLM-002-TC,U,225000,10,28/02/2023 22:20:29,5,165000,0
DSH-001-YL,K,120000,10,28/02/2023 22:31:39,8,105000,2
IKG-001-DR,Y,235000,10,28/02/2023 22:32:59,5,195000,3
IKG-001-BC,L,125000,15,28/02/2023 22:33:39,9,85000,4
JTH-001-DS,M,150000,20,28/02/2023 22:34:39,5,515000,2
MNO-001-FR,M,200000,10,28/02/2023 22:36:49,10,55000,3
MNO-001-MG,K,150000,15,28/02/2023 22:37:39,9,395000,2
MNO-002-CU,M,200000,00,03/03/2023 00:16:35,15,175000,5
ORI-001-UN,H,140000,20,28/02/2023 22:42:39,5,95000,2
PUN-001-FR,I,235000,03,28/02/2023 22:43:39,6,175000,5
PUN-002-AB,B,165000,05,28/02/2023 22:43:59,5,135000,4
RMN-001-FR,Y,220000,10,28/02/2023 22:44:19,5,195000,5
RMN-001-KR,K,120000,10,28/02/2023 22:45:39,7,95000,2
RMN-001-DS,U,240000,15,28/02/2023 22:45:49,5,195000,0
SSO-001-BC,S,120000,10,28/02/2023 22:47:19,5,115000,3
UHI-001-FR,H,195000,15,28/02/2023 22:52:39,8,175000,4
YYK-001-LV,N,285000,10,28/02/2023 23:13:59,4,255000,3
BCF-001-UL,K,220000,05,02/03/2023 23:31:35,9,150000,2
KKU-001-NO,B,230000,00,02/03/2023 23:32:11,10,200000,0
DSO-001-PR,H,150000,02,03/03/2023 00:05:55,6,100000,0
KKM-001-UU,L,200000,02,03/03/2023 00:08:34,7,140000,2
KGK-002-UL,B,250000,05,03/03/2023 00:10:53,6,190000,2
BUL-001-UB,H,140000,00,03/03/2023 00:21:10,11,100000,5
BCT-001-UY,G,200000,02,17/03/2023 01:14:51,10,130000,0
JUL-003-B,B,200000,05,17/03/2023 01:29:45,2,100000,2
CKG-008-UH,H,350000,00,17/03/2023 01:33:27,5,275000,1
